Epoch gpu_mem box obj cls total labels img_size P R mAP@.5 mAP@.5:.95 val_loss(box) val_loss(obj) val_loss(cls)
   137/299     19.4G   0.02023   0.02478 0.0002475   0.04525        83      1280    0.9654    0.9444     0.963    0.7611   0.01861   0.04573   0.00233
   138/299     19.4G   0.02039   0.02487 0.0002663   0.04553        55      1280    0.9713    0.9384     0.963    0.7618    0.0186   0.04575  0.002332
   139/299     19.4G   0.01993   0.02456  0.000261   0.04475       166      1280    0.9637    0.9437    0.9632    0.7622   0.01859   0.04573  0.002334
   140/299     19.4G   0.02026   0.02527 0.0002703    0.0458        96      1280    0.9661    0.9439    0.9635    0.7623   0.01858   0.04575  0.002337
   141/299     19.4G   0.02048   0.02556 0.0002773   0.04632        42      1280    0.9645    0.9452    0.9649    0.7621   0.01856   0.04573  0.002338
   142/299     19.4G   0.02035   0.02553 0.0002712   0.04615        93      1280    0.9657    0.9452    0.9653    0.7625   0.01855   0.04573   0.00234
   143/299     19.4G   0.02048    0.0252 0.0002804   0.04596       106      1280    0.9649    0.9454    0.9651    0.7633   0.01853   0.04574  0.002341
   144/299     19.4G   0.02046   0.02553 0.0002654   0.04626        49      1280    0.9632    0.9445    0.9637    0.7639   0.01852   0.04576  0.002343
   145/299     19.4G   0.01993   0.02487 0.0002591   0.04506        97      1280     0.962    0.9449    0.9643    0.7645   0.01851   0.04577  0.002347
   146/299     19.4G   0.01999   0.02501 0.0002553   0.04525        88      1280    0.9655    0.9421    0.9654    0.7648    0.0185   0.04579  0.002348
   147/299     19.4G   0.02016   0.02517  0.000256   0.04559         2      1280    0.9724    0.9359    0.9655    0.7662   0.01848   0.04583  0.002351
   148/299     19.4G   0.02003    0.0247 0.0002602   0.04499        29      1280    0.9725    0.9357    0.9655    0.7666   0.01846   0.04585  0.002355
   149/299     19.4G      0.02   0.02492 0.0002625   0.04519        58      1280    0.9703    0.9365    0.9654    0.7665   0.01845   0.04584  0.002357
   150/299     19.4G   0.01983   0.02453   0.00026   0.04462       133      1280    0.9702    0.9369    0.9651    0.7665   0.01844   0.04587  0.002358
   151/299     19.4G   0.01978   0.02484 0.0002498   0.04487        83      1280    0.9722    0.9362    0.9654    0.7668   0.01844   0.04589   0.00236
   152/299     19.4G   0.01969   0.02456 0.0002507   0.04451        85      1280    0.9721    0.9383    0.9655    0.7668   0.01843   0.04588  0.002358
